City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,bredasdorp,-34.5322,20.0403,72.03,84,46,4.21,ZA,1707079713
84,arraial do cabo,-22.9661,-42.0278,82.26,78,75,13.8,BR,1707079713
85,yung shue wan,22.2333,114.1167,67.75,92,92,5.86,HK,1707079713
86,whitehorse,60.7161,-135.0538,-14.03,64,75,4.61,CA,1707079713
87,qaqortoq,60.7167,-46.0333,-7.2,68,0,6.11,GL,1707079714
88,san patricio,28.017,-97.5169,77.09,35,0,23.09,US,1707079714
89,ryotsu-minato,38.0833,138.4333,38.12,59,100,5.06,JP,1707079714
90,puerto ayacucho,5.6639,-67.6236,85.71,65,97,6.46,VE,1707079714
91,katsuura,35.1333,140.3,45.12,77,100,10.38,JP,1707079714
92,olonkinbyen,70.9221,-8.7187,21.74,76,100,24.85,SJ,1707079715
93,tolanaro,-25.0319,46.9987,75.27,94,75,18.41,MG,1707079715
94,santa vitoria,-18.8386,-50.1214,77.95,60,93,10.11,BR,1707079715
95,batangafo,7.3008,18.2833,77.94,18,25,5.08,CF,1707079715
96,inari,68.906,27.0288,-1.75,100,86,3.98,FI,1707079715
97,jinghong,21.991,100.7341,55.98,64,0,2.53,CN,1707079716
98,roma,43.2128,-75.4557,41.72,59,20,3.44,US,1707079716
99,aracruz,-19.8203,-40.2733,81.61,81,81,4.03,BR,1707079716
100,caleta de carquin,-11.0925,-77.6267,78.33,74,98,6.98,PE,1707079716
101,ribeira grande,38.5167,-28.7,63.0,94,75,17.0,PT,1707079716
102,ghanzi,-21.5667,21.7833,76.24,49,25,4.0,BW,1707079716
103,puerto ayora,-0.7393,-90.3518,82.36,87,69,8.01,EC,1707079717
104,mariehamn,60.0973,19.9348,31.86,59,0,8.05,AX,1707079717
105,afif,23.9065,42.9172,58.33,21,76,4.97,SA,1707079717
106,urengoy,65.9667,78.3667,-0.62,98,100,5.66,RU,1707079717
107,kodiak,57.79,-152.4072,33.31,86,20,6.91,US,1707079581
108,salinopolis,-0.6136,-47.3561,82.22,78,43,10.71,BR,1707079718
109,lospalos,-8.5186,127.0025,73.38,93,97,3.53,TL,1707079718
110,charlotte,35.2271,-80.8431,54.59,42,75,11.5,US,1707079203
111,margaret river,-33.95,115.0667,55.49,78,59,6.55,AU,1707079455
112,hithadhoo,-0.6,73.0833,82.85,78,67,13.02,MV,1707079718
113,dean funes,-30.4204,-64.3498,87.58,35,21,13.35,AR,1707079719
114,limanowa,49.7059,20.422,45.7,95,100,12.84,PL,1707079719
115,hirara,24.8,125.2833,70.07,88,100,26.46,JP,1707079719
116,lamar,33.6668,-95.5836,57.88,75,100,14.97,US,1707079719
117,guiuan,11.0333,125.7247,79.16,82,16,10.29,PH,1707079719
118,maintirano,-18.0667,44.0167,78.96,88,100,5.61,MG,1707079719
119,zhangye,38.9342,100.4517,21.81,56,0,1.3,CN,1707079719
120,yeppoon,-23.1333,150.7333,74.98,66,84,5.88,AU,1707079720
121,sorong,-0.8833,131.25,80.22,84,100,8.21,ID,1707079720
122,nurota,40.5614,65.6886,34.95,54,100,6.42,UZ,1707079720
123,kone,-21.0595,164.8658,82.31,83,99,6.29,NC,1707079720
124,cabo san lucas,22.8909,-109.9124,77.61,53,0,7.0,MX,1707079721
125,okhotsk,59.3833,143.3,-9.9,78,28,14.76,RU,1707079721
126,pasuquin,18.3328,120.6177,73.35,100,20,2.3,PH,1707079721
127,alegrete,-29.7831,-55.7919,81.72,70,38,15.68,BR,1707079721
128,bikenibeu village,1.3673,173.1241,84.16,84,75,6.91,KI,1707079721
129,petropavl,54.8753,69.1628,20.14,93,100,13.2,KZ,1707079722
130,brisas de zicatela,15.8369,-97.0419,86.52,62,0,17.27,MX,1707079722
131,samarinda,-0.5,117.15,73.06,100,100,1.28,ID,1707079722
132,santiago de cao,-7.9589,-79.2392,78.93,73,40,6.91,PE,1707079722
133,kogalym,62.2654,74.4791,-0.9,96,100,10.49,RU,1707079722
134,hawaiian paradise park,19.5933,-154.9731,73.04,81,100,8.05,US,1707079722
135,hamilton,39.1834,-84.5333,56.8,45,0,13.8,US,1707079475
136,bamboo flat,11.7,92.7167,76.35,72,46,8.72,IN,1707079723
137,east london,-33.0153,27.9116,76.14,79,100,13.2,ZA,1707079723
138,langepas,61.2544,75.2124,4.44,96,100,8.59,RU,1707079723
139,bestobe,52.4994,73.0975,22.66,86,100,18.05,KZ,1707079723
140,nelson bay,-32.7167,152.15,80.65,91,100,10.0,AU,1707079723
141,ivins,37.1686,-113.6794,52.12,55,100,5.99,US,1707079723
142,prokop'yevsk,53.9059,86.719,25.77,86,100,16.62,RU,1707079724
143,college,64.8569,-147.8028,-2.2,71,75,3.44,US,1707079724
144,mount pearl,47.5166,-52.7813,34.14,97,100,24.16,CA,1707079724
145,tomatlan,19.9333,-105.25,93.11,17,0,10.87,MX,1707079724
146,flying fish cove,-10.4217,105.6791,76.68,100,100,3.44,CX,1707079724
147,chonchi,-42.6128,-73.8092,78.01,34,1,3.04,CL,1707079699
148,kwang binh,17.4833,106.6,72.27,87,0,3.0,VN,1707079725
149,sabang,5.8933,95.3214,81.82,78,69,12.44,ID,1707079725
150,sechura,-5.5569,-80.8222,81.93,65,94,16.55,PE,1707079725
151,asadabad,34.7824,48.1185,26.55,81,79,5.46,IR,1707079725
152,villa huidobro,-34.8383,-64.5869,87.6,28,100,13.02,AR,1707079725
153,tazovsky,67.4667,78.7,6.26,96,100,7.31,RU,1707079725
154,al hazm,16.1641,44.7769,70.25,43,7,2.62,YE,1707079726
155,peace river,56.2501,-117.286,25.11,68,20,8.05,CA,1707079726
156,santa cruz,-17.8,-63.1667,96.26,46,40,11.5,BO,1707079463
157,jamestown,42.097,-79.2353,46.04,33,0,11.5,US,1707079559
158,carnarvon,-24.8667,113.6333,73.04,57,1,22.91,AU,1707079726
159,mbabane,-26.3167,31.1333,60.28,98,57,1.54,SZ,1707079476
160,dom pedrito,-30.9828,-54.6731,90.63,48,35,10.0,BR,1707079491
161,corner brook,48.9667,-57.9484,24.96,92,100,13.67,CA,1707079727
162,changli,39.7042,119.1506,26.89,40,100,3.44,CN,1707079727
163,isafjordur,66.0755,-23.124,23.23,85,100,13.38,IS,1707079727
164,greymouth,-42.4667,171.2,63.39,69,95,2.48,NZ,1707079727
165,katsuren-haebaru,26.3369,127.8719,75.97,88,100,36.82,JP,1707079727
166,cabedelo,-6.9811,-34.8339,86.67,71,0,13.18,BR,1707079646
167,anna regina,7.2644,-58.5077,81.66,78,99,9.13,GY,1707079728
168,dawson creek,55.7666,-120.2362,29.84,43,0,6.91,CA,1707079728
169,keflavik,64.0049,-22.5624,23.43,74,75,14.97,IS,1707079728
170,sitka,57.0531,-135.33,37.29,100,100,6.91,US,1707079728
171,richards bay,-28.783,32.0377,73.44,89,79,5.39,ZA,1707079728
172,lebu,-37.6167,-73.65,63.93,70,0,11.65,CL,1707079728
173,leiston,52.2061,1.5776,53.33,82,100,21.83,GB,1707079728
174,wad medani,14.4012,33.5199,74.25,15,15,16.42,SD,1707079729
175,prince george,53.9166,-122.753,26.62,73,0,5.75,CA,1707079729
176,jutai,-5.1833,-68.9,76.86,93,100,2.66,BR,1707079729
177,hinthada,17.6333,95.4667,65.8,46,8,4.68,MM,1707079729
178,south windsor,41.8237,-72.6212,46.22,43,0,6.91,US,1707079729
179,kailua-kona,19.6406,-155.9956,79.5,68,40,6.91,US,1707079514
180,port elizabeth,-33.918,25.5701,71.1,95,0,2.3,ZA,1707079730
181,farsan,32.2569,50.561,21.24,67,1,6.89,IR,1707079730
182,guatire,10.4762,-66.5427,76.82,88,97,2.26,VE,1707079730
183,dudinka,69.4058,86.1778,-0.38,96,99,10.51,RU,1707079730
184,atafu village,-8.5421,-172.5159,84.56,76,97,21.03,TK,1707079730
185,kodinsk,58.6881,99.1844,6.44,97,100,3.67,RU,1707079731
186,beipiao,41.7919,120.7792,16.63,54,100,11.65,CN,1707079731
187,timimoun,29.2639,0.231,54.88,40,20,13.06,DZ,1707079731
188,alesund,62.4723,6.1549,39.76,90,75,12.66,NO,1707079731
189,kurmuk,10.55,34.2833,74.71,33,50,3.74,SD,1707079731
190,newman,37.3138,-121.0208,58.28,90,100,14.0,US,1707079731
191,yuzhno-kurilsk,44.0306,145.8556,24.37,71,86,21.74,RU,1707079731
192,palikir - national government center,6.9248,158.1611,81.12,83,100,25.12,FM,1707079732
193,matale,7.4721,80.6234,69.1,99,99,2.86,LK,1707079732
194,maumere,-8.6199,122.2111,80.02,82,67,2.01,ID,1707079732
195,sisimiut,66.9395,-53.6735,-5.49,95,97,7.29,GL,1707079732
196,baicheng,45.6167,122.8167,7.38,62,100,5.1,CN,1707079732
197,alofi,-19.0595,-169.9187,80.49,89,100,12.66,NU,1707079732
198,kugesi,56.029,47.2925,24.46,93,100,8.95,RU,1707079733
199,tocopilla,-22.092,-70.1979,75.79,69,9,2.57,CL,1707079733
200,usinsk,65.9939,57.5281,-16.92,100,29,3.0,RU,1707079733
201,ta`u,-14.2336,-169.5144,81.05,90,100,31.27,AS,1707079733
202,new norfolk,-42.7826,147.0587,57.92,85,35,2.51,AU,1707079733
203,bet shemesh,31.7496,34.9888,52.57,80,16,4.43,IL,1707079733
204,mournies,35.4764,24.0092,56.82,71,20,14.97,GR,1707079734
205,taitung city,22.7583,121.1444,72.54,74,19,7.23,TW,1707079734
206,nizhneudinsk,54.9076,99.0276,3.81,92,68,3.78,RU,1707079734
207,coquimbo,-29.9533,-71.3436,74.93,60,75,12.66,CL,1707079734
208,pemangkat,1.1667,108.9667,78.46,87,100,4.52,ID,1707079734
209,dunedin,-45.8742,170.5036,71.08,70,25,3.0,NZ,1707079467
210,kavaratti,10.5669,72.642,81.75,72,33,10.76,IN,1707079734
211,kiruna,67.8557,20.2251,16.72,93,100,4.61,SE,1707079735
212,ebon,4.582,168.6964,82.83,69,100,20.74,MH,1707079735
213,shubarkuduk,49.1447,56.4872,32.99,97,100,27.13,KZ,1707079735
214,mahibadhoo,3.7833,72.9667,82.26,73,95,17.96,MV,1707079735
215,valley city,46.9233,-98.0032,32.52,100,100,0.0,US,1707079735
216,itaituba,-4.2761,-55.9836,84.36,79,75,3.44,BR,1707079735
217,filadelfia,39.9523,-75.1638,51.15,45,0,6.91,US,1707079736
218,angaur state,6.906,134.13,81.59,83,86,17.92,PW,1707079736
219,ramhormoz,31.28,49.6035,52.25,49,0,3.71,IR,1707079736
220,conde,-7.2597,-34.9075,85.46,66,20,11.5,BR,1707079736
